Dec   Hex  Oct   Code     Char Description
121   79   171   U+0079   y    LATIN SMALL LETTER Y
122   7a   172   U+007a   z    LATIN SMALL LETTER Z
123   7b   173   U+007b   {    LEFT CURLY BRACKET
124   7c   174   U+007c   |    VERTICAL LINE
125   7d   175   U+007d   }    RIGHT CURLY BRACKET
126   7e   176   U+007e   ~    TILDE
127   7f   177   U+007f        DELETE
128   80   200   U+00a0        NO-BREAK SPACE
129   81   201   U+00a7   §    SECTION SIGN
130   82   202   U+00a9   ©    COPYRIGHT SIGN
131   83   203   U+00ab   «    LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
132   84   204   U+00ae   ®    REGISTERED SIGN
133   85   205   U+00b0   °    DEGREE SIGN
134   86   206   U+00b1   ±    PLUS-MINUS SIGN
135   87   207   U+00bb   »    RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
136   88   210   U+00c0   À    LATIN CAPITAL LETTER A WITH GRAVE
137   89   211   U+00c1   Á    LATIN CAPITAL LETTER A WITH ACUTE
138   8a   212   U+00c2   Â    LATIN CAPITAL LETTER A WITH CIRCUMFLEX
139   8b   213   U+00c3   Ã    LATIN CAPITAL LETTER A WITH TILDE
140   8c   214   U+00c4   Ä    LATIN CAPITAL LETTER A WITH DIAERESIS
141   8d   215   U+00c5   Å    LATIN CAPITAL LETTER A WITH RING ABOVE
142   8e   216   U+00c7   Ç    LATIN CAPITAL LETTER C WITH CEDILLA
143   8f   217   U+00c8   È    LATIN CAPITAL LETTER E WITH GRAVE
144   90   220   U+00c9   É    LATIN CAPITAL LETTER E WITH ACUTE
145   91   221   U+00ca   Ê    LATIN CAPITAL LETTER E WITH CIRCUMFLEX
146   92   222   U+00cb   Ë    LATIN CAPITAL LETTER E WITH DIAERESIS
147   93   223   U+00cc   Ì    LATIN CAPITAL LETTER I WITH GRAVE
148   94   224   U+00cd   Í    LATIN CAPITAL LETTER I WITH ACUTE
149   95   225   U+00ce   Î    LATIN CAPITAL LETTER I WITH CIRCUMFLEX
150   96   226   U+00cf   Ï    LATIN CAPITAL LETTER I WITH DIAERESIS
151   97   227   U+00d1   Ñ    LATIN CAPITAL LETTER N WITH TILDE
152   98   230   U+00d2   Ò    LATIN CAPITAL LETTER O WITH GRAVE
153   99   231   U+00d3   Ó    LATIN CAPITAL LETTER O WITH ACUTE
154   9a   232   U+00d4   Ô    LATIN CAPITAL LETTER O WITH CIRCUMFLEX
155   9b   233   U+00d5   Õ    LATIN CAPITAL LETTER O WITH TILDE
156   9c   234   U+00d6   Ö    LATIN CAPITAL LETTER O WITH DIAERESIS
157   9d   235   U+00d8   Ø    LATIN CAPITAL LETTER O WITH STROKE
158   9e   236   U+00d9   Ù    LATIN CAPITAL LETTER U WITH GRAVE
159   9f   237   U+00da   Ú    LATIN CAPITAL LETTER U WITH ACUTE
160   a0   240   U+00db   Û    LATIN CAPITAL LETTER U WITH CIRCUMFLEX
161   a1   241   U+00dc   Ü    LATIN CAPITAL LETTER U WITH DIAERESIS
